pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist
Kepler-240 b,K00837.02,4.14451656,1.48,,864.0,4768.0,0.779,
K00838.01,K00838.01,4.859386384,38.33,,1114.0,6072.0,0.988,
Kepler-702 b,K00850.01,10.526294577,8.24,,713.0,5386.0,0.793,
Kepler-703 b,K00851.01,4.583520948,5.39,,1038.0,5815.0,0.877,
Kepler-704 b,K00852.01,3.76181843,2.66,,1121.0,5653.0,0.949,
Kepler-242 b,K00853.01,8.20396958,3.01,,742.0,5015.0,0.826,
Kepler-242 c,K00853.02,14.49645186,3.01,,613.0,5015.0,0.826,
Kepler-27 d,K00841.03,6.54626149,2.19,,810.0,5251.0,0.817,
Kepler-241 b,K00842.01,12.71809866,2.31,,562.0,4702.0,0.686,
Kepler-241 c,K00842.02,36.06588163,2.64,,397.0,4702.0,0.686,
Kepler-696 b,K00843.01,4.190425659,6.21,,1234.0,6073.0,1.135,
Kepler-697 b,K00844.01,3.709870784,4.35,,1151.0,5727.0,0.978,
Kepler-698 b,K00845.01,16.3297527,3.75,,727.0,5878.0,0.987,
Kepler-699 b,K00846.01,27.807566216,13.84,,554.0,5862.0,0.785,
Kepler-700 b,K00847.01,80.8723469,7.59,,452.0,5510.0,1.238,
K00848.01,K00848.01,3.166465862,26.82,,954.0,4968.0,0.704,
Kepler-467 b,K00118.01,24.99324319,2.29,,712.0,5718.0,1.317,
Kepler-701 b,K00849.01,10.35533116,2.47,,777.0,5501.0,0.918,
Kepler-709 b,K00867.01,16.08518937,3.68,,613.0,5239.0,0.826,
K00868.01,K00868.01,235.9986399,10.59,,188.0,4245.0,0.657,
Kepler-245 b,K00869.01,7.49018305,2.56,,753.0,5103.0,0.787,
Kepler-245 d,K00869.02,36.2761238,3.03,,445.0,5103.0,0.787,
Kepler-245 c,K00869.03,17.46087931,2.32,,568.0,5103.0,0.787,
Kepler-705 b,K00854.01,56.0560754,1.94,,233.0,3593.0,0.491,
Kepler-706 b,K00855.01,41.408316686,11.38,,453.0,5522.0,0.747,
K00856.01,K00856.01,39.74893077,14.21,,552.0,6122.0,0.964,
Kepler-243 b,K00857.01,5.715425977,2.47,,850.0,5237.0,0.826,
Kepler-108 b,K00119.01,49.18394185,8.2,,669.0,5626.0,2.057,
Kepler-243 c,K00857.02,20.0261412,2.28,,559.0,5237.0,0.826,
K00858.01,K00858.01,13.61014819,19.02,,733.0,5697.0,0.903,
K00859.01,K00859.01,10.44331991,2.66,,667.0,4947.0,0.802,
Kepler-707 b,K00861.01,2.237489571,1.41,,1160.0,5265.0,0.81,
K00862.01,K00862.01,5.851520671,14.62,,901.0,5532.0,0.806,
Kepler-708 b,K00863.01,3.167893418,2.62,,1221.0,5895.0,0.94,
Kepler-244 b,K00864.01,4.311780262,3.11,,1038.0,5527.0,0.927,
Kepler-244 d,K00864.02,20.0504494,2.69,,622.0,5527.0,0.927,
Kepler-244 c,K00864.03,9.76734503,2.67,,791.0,5527.0,0.927,
K00865.01,K00865.01,119.0207044,8.98,,366.0,5453.0,1.062,
Kepler-108 c,K00119.02,190.3200468,7.78,,426.0,5626.0,2.057,
K00866.01,K00866.01,2.861159894,4.37,,1355.0,6126.0,1.021,
Kepler-82 b,K00880.01,26.44439337,3.91,,562.0,5427.0,0.929,
Kepler-82 c,K00880.02,51.53997972,5.51,,450.0,5427.0,0.929,
Kepler-82 e,K00880.03,5.902245782,2.43,,926.0,5427.0,0.929,
Kepler-82 d,K00880.04,2.382951591,1.86,,1253.0,5427.0,0.929,
Kepler-712 b,K00881.01,21.02250608,3.07,,521.0,5067.0,0.75,
Kepler-245 e,K00869.04,3.219814777,1.69,,998.0,5103.0,0.787,
Kepler-28 b,K00870.01,5.912273234,1.73,,585.0,4072.0,0.57,
Kepler-28 c,K00870.02,8.98581901,1.65,,509.0,4072.0,0.57,
K00871.01,K00871.01,12.940668656,22.94,,723.0,5875.0,0.809,
K00120.01,K00120.01,20.5452375,2.41,,742.0,5670.0,1.264,
Kepler-46 b,K00872.01,33.60123371,8.46,,495.0,5149.0,0.93,
Kepler-46 d,K00872.02,6.76652928,1.97,,845.0,5149.0,0.93,
Kepler-710 b,K00873.01,4.347288783,2.36,,1174.0,5754.0,1.122,
Kepler-246 b,K00874.01,4.601811819,2.35,,896.0,4986.0,0.833,
Kepler-246 c,K00874.02,11.18719905,1.55,,667.0,4986.0,0.833,
Kepler-1729 b,K00875.01,4.220965778,2.62,,595.0,3837.0,0.517,
K00876.01,K00876.01,6.998099523,588.66,,853.0,5612.0,0.829,
Kepler-81 b,K00877.01,5.95489993,2.33,,635.0,4261.0,0.633,
Kepler-81 c,K00877.02,12.03987488,2.18,,502.0,4261.0,0.633,
Kepler-81 d,K00877.03,20.83762895,1.42,,418.0,4261.0,0.633,
K00121.01,K00121.01,8.8111022,63.66,,1399.0,6200.0,2.404,
Kepler-711 b,K00878.01,23.58917143,3.16,,487.0,4919.0,0.721,
Kepler-109 b,K00123.01,6.481633073,2.54,,1145.0,5945.0,1.302,
Kepler-716 b,K00892.01,10.37168928,3.2,,720.0,5121.0,0.888,
Kepler-716 c,K00892.02,3.96996298,1.78,,992.0,5121.0,0.888,
Kepler-717 b,K00893.01,4.40841331,2.66,,1139.0,6007.0,0.961,
K00894.01,K00894.01,7.9426176,4.68,,878.0,5811.0,0.926,
Kepler-712 c,K00881.02,226.8904775,4.53,,236.0,5067.0,0.75,
K00882.01,K00882.01,1.956811408,21.58,,1109.0,5209.0,0.603,
K00883.01,K00883.01,2.688899233,12.04,,929.0,4820.0,0.639,
Kepler-247 c,K00884.01,9.439459486,4.16,,686.0,5097.0,0.779,
Kepler-95 b,K00122.01,11.523067458,3.13,,927.0,5644.0,1.411,
Kepler-247 d,K00884.02,20.47748843,2.92,,530.0,5097.0,0.779,
Kepler-247 b,K00884.03,3.336123113,1.74,,970.0,5097.0,0.779,
Kepler-54 b,K00886.01,8.01078456,1.72,,453.0,3713.0,0.47,
Kepler-54 c,K00886.02,12.07134205,1.29,,395.0,3713.0,0.47,
Kepler-54 d,K00886.03,20.99587872,1.3,,328.0,3713.0,0.47,
Kepler-713 b,K00887.01,7.41113177,2.45,,905.0,5849.0,0.919,
K00888.01,K00888.01,1.000747038,4.14,,1620.0,5472.0,0.79,
Kepler-75 b,K00889.01,8.884922995,10.51,,770.0,5332.0,0.843,
Kepler-714 b,K00890.01,8.09888906,8.95,,986.0,6214.0,1.076,
Kepler-715 b,K00891.01,10.00653012,3.52,,876.0,6063.0,1.001,
Kepler-448 b,K00012.01,17.855221681,13.16,,911.0,6823.0,1.367,
K00901.01,K00901.01,12.732624065,4.87,,432.0,3950.0,0.541,
K00902.01,K00902.01,83.92494032,4.78,,226.0,3960.0,0.509,
Kepler-719 b,K00903.01,5.007316661,6.96,,998.0,5865.0,0.827,
Kepler-55 d,K00904.01,2.211116989,1.85,,931.0,4500.0,0.646,
Kepler-55 b,K00904.02,27.9541337,1.9,,400.0,4500.0,0.646,
Kepler-110 b,K00124.01,12.69104387,2.57,,1008.0,5869.0,1.626,
K00895.01,K00895.01,4.409409243,10.95,,1101.0,5600.0,0.975,
