pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
Kepler-30 c,K00806.02,60.32494216,12.19,,411.0,285.28363,38.947281,5485.0,0.867,,,,
Kepler-30 b,K00806.03,29.1598615,1.91,,524.0,285.28363,38.947281,5485.0,0.867,,,,
K00807.01,K00807.01,1.540397253,25.69,,1470.0,286.92639,38.921631,5663.0,0.915,,,,
K00808.01,K00808.01,2.99025443,1.7,,918.0,287.74881,38.92955,4667.0,0.731,,,,
Kepler-686 b,K00809.01,1.594745374,11.3,,1539.0,285.21381,39.027481,5934.0,0.893,,,,
Kepler-1728 b,K00810.01,4.783002698,2.5,,886.0,287.09399,39.060719,5170.0,0.807,,,,
Kepler-687 b,K00811.01,20.50588921,3.41,,518.0,289.31543,39.153278,4905.0,0.761,,,,
Kepler-235 b,K00812.01,3.340218842,2.03,,656.0,286.07913,39.27832,3950.0,0.493,,,,
K00828.01,K00828.01,2.507089906,30.26,,1326.0,295.37805,40.493401,5926.0,0.939,,,,
Kepler-53 b,K00829.01,18.64932728,3.12,,701.0,290.46176,40.562462,5775.0,1.053,,,,
Kepler-107 c,K00117.02,4.90144976,1.7,,1262.0,297.02826,48.208611,5847.0,1.402,,,,
Kepler-53 d,K00829.02,9.75192101,2.76,,870.0,290.46176,40.562462,5775.0,1.053,,,,
Kepler-53 c,K00829.03,38.5576546,4.02,,550.0,290.46176,40.562462,5775.0,1.053,,,,
Kepler-428 b,K00830.01,3.525632539,11.58,,975.0,290.58173,40.5774,5150.0,0.793,,,,
K00815.01,K00815.01,34.84398644,7.61,,511.0,285.92001,39.624828,5509.0,0.871,,,,
Kepler-690 b,K00816.01,7.748094239,5.52,,964.0,294.4899,39.771439,5973.0,1.085,,,,
Kepler-236 c,K00817.01,23.96793669,1.8,,329.0,283.86639,39.898079,3747.0,0.524,,,,
Kepler-236 b,K00817.02,8.29561738,1.82,,469.0,283.86639,39.898079,3747.0,0.524,,,,
Kepler-691 b,K00818.01,8.11437482,2.1,,460.0,288.81201,40.033401,3692.0,0.517,,,,
K00819.01,K00819.01,38.036729482,27.5,,500.0,294.14789,40.055538,5575.0,0.932,,,,
K00820.01,K00820.01,4.64090031,30.09,,1155.0,295.11371,40.071171,6463.0,0.826,,,,
K00011.01,K00011.01,3.747838198,13.65,,1031.0,291.06152,50.265129,5514.0,0.826,,,,
Kepler-107 e,K00117.01,14.74914825,2.89,,874.0,297.02826,48.208611,5847.0,1.402,,,,
Kepler-692 b,K00821.01,21.81295996,3.38,,639.0,294.77686,40.15374,5601.0,0.999,,,,
K00822.01,K00822.01,7.91936937,10.34,,814.0,283.53845,40.217999,5690.0,0.776,,,,
K00823.01,K00823.01,1.028436523,72.77,,1947.0,296.00699,40.295429,6228.0,0.99,,,,
Kepler-693 b,K00824.01,15.37562369,11.01,,600.0,283.25354,40.358189,4986.0,0.833,,,,
Kepler-237 c,K00825.01,8.10363271,2.11,,687.0,283.22141,40.421829,4861.0,0.732,,,,
