pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
15.7335693,24.3218,1219.0,6800.0,2.21,3.91,367.588
45.9403293,28.3312,,6479.3,1.28,,20.4053
2.2219839,15.4416,,7166.8,1.87,,7790.56
2.3106428,8.76741,1052.0,5339.9,0.99,4.41,203.685
4.05135,14.2359,,4974.4,3.85,,
5.5376617,15.6557,1206.0,6689.0,2.06,3.96,351.929
4.5960377,16.2166,1937.0,7649.0,2.12,4.04,2340.04
3.612771,19.3662,2344.0,8324.0,1.71,4.28,5011.92
3.6714717,10.678,1182.0,5618.0,1.54,4.06,324.114
11.535076,12.215808,,5479.3,2.48771,3.77,
0.8352406,6.4875,2345.0,6105.0,1.24,4.31,5021.63
2.4919771,2.2187585,639.9817426,3948.0,0.482388,4.68962,39.6452664
,1.710706,448.0162269,3773.0,0.577983,4.438,9.5212941
25.5195307,2.9641461,662.8890748,5742.22,1.17321,4.29,45.6335702
1.3812115,2.2402361,2222.614552,6711.0,1.7756799,4.06358,5767.3673643
2.3922703,3.5905923,2954.822621,6090.0,4.1956,3.29864,18015.5142019
4.4780798,11.3678,3715.0,7947.0,1.83,4.2,31621.7
3.2887898,10.5135877,1338.8392647,5800.0,1.24175,4.28004,759.3373533
13.7431084,12.05,844.0,5941.5,1.34,,84.3234
16.9487087,45.2204505,758.5937679,5894.7,1.1179,4.37,78.263287
3.3686634,42.2321,2775.0,7518.0,2.68,3.82,9856.24
11.2071839,17.4989,1487.0,6152.0,2.24,3.84,813.063
4.8878037,5.29152,810.0,4757.3,0.76,4.56,71.6805
2.97164,,2076.0,8562.5,,,3089.18
0.660179,6.1672487,5717.1532477,8598.7,2.62432,4.1,252487.7638842
10.9278415,49.1695,1129.0,6259.0,2.92,3.59,270.142
5.5514888,15.8043,1482.0,6403.9,1.55,4.16,802.858
2.3202418,,3115.3801229,8737.5,,,22262.0513573
4.7423709,10.5505922,970.6340996,5377.0,0.877585,4.42476,209.7699043
1.4810903,20.3402421,3446.0210572,9435.0,2.28773,4.11,33326.7304874
3.4741012,21.2912,2084.3330866,8894.8,1.62,4.38,3453.07
6.5011911,,976.5873888,5485.0,,,214.9638584
6.0360758,9.86763,1293.0,6528.3,1.69,4.21,464.097
21.745537,2.10208,642.0,5704.0,0.93,4.51,28.2504
1.32003,,,,,,
1.6865822,,,,,,
13.0727479,35.7944,1074.0,5709.8,3.59,3.37,221.343
2.9258727,24.4055,2066.0,4884.5,1.3,,3028.51
0.73774,5.28215,,6449.5,2.1,3.94,
2.7985802,11.9514993,1089.1458169,4920.0,0.906655,4.49371,332.556249
2.3664127,,,,,,
1.7635881,,2608.0,7986.1,,,7685.79
7.3166682,,1647.0,8730.0,,,1221.82
3.0771612,,1827.6445751,9311.3,,,2636.8654415
3.2077145,,,,,,
2.2552845,14.688,1348.0,5787.0,0.96,4.5,549.715
1.8824539,8.29008,3091.0,5900.4,1.13,4.39,15173.2
15.196,4.96345,,5807.0,1.14,,
2.1358631,23.6019,1745.0,5969.0,1.5,4.17,1540.95
6.7075429,17.4647,1079.0,6134.3,1.24,,225.822
3.5862962,16.4747611,1658.3915202,5704.8,2.00441,3.84,1787.5955937
1.8296155,29.3616,3751.0,7875.0,3.5,3.61,32867.0
11.1876137,31.8624,1499.0,7266.0,2.05,4.06,838.609
7.8513949,,,,,,
7.0643978,9.39131,890.0,5429.6,0.96,4.44,104.311
8.9534775,2.35888,723.0,5029.5,0.76,4.61,45.5604
7.5022708,5.55812,940.0,6229.0,1.27,4.31,129.866
14.0077666,12.4023108,1028.5320293,6557.7,1.57435,4.18,264.4796635
1.692892,11.2371,5800.0,9121.5,2.1,4.21,187927.0
2.6652007,2.35964,2045.0,4043.4,0.56,4.69,2905.35
1.2615323,8.67407,1715.0,4927.9,0.78,4.57,1437.18
6.0344667,4.44029,788.0,5586.0,1.05,4.36763,64.2648
9.6867516,3.00336,707.0,4738.1,0.73,4.59,41.6645
2.1031647,16.7087,3037.0,6122.0,1.93,3.93,14140.0
7.6416041,27.538,1303.0,6496.7,2.05,,478.683
5.9294088,10.8101,,5095.6,1.06,,456.893
5.7484439,2.35215,820.0,4534.0,0.69,4.61,75.272
1.1967018,10.3239,3534.0,5997.0,1.73,4.0,25917.9
11.2464616,17.6677,1218.0,6115.7,2.01,3.89,365.938
2.5941968,4.47229,1159.0,6389.0,1.4,4.26,300.014
8.5112,,,8156.0,,4.35,
3.9687994,,,5286.9,,,
5.5411114,2.04482,1117.0,5332.0,0.82,4.56429,258.843
24.2454967,3.878568,122.2177444,3535.0,0.465271,4.84874,0.05273
14.2545623,10.7048234,785.7055082,5739.0,1.09597,4.28235,90.0658585
14.1758947,2.6231641,690.9961983,5723.87,0.864173,4.438,53.8795095
19.5901578,3.0026428,620.3638839,5723.87,0.864173,4.438,35.0031418
6.2036219,2.056748,910.1452592,5723.87,0.864173,4.438,162.1675094
3.79589,1.553135,1072.0653989,5723.87,0.864173,4.438,312.1807495
2.2645386,5.1936764,616.7174475,3443.0,0.411471,4.81617,34.1873897
3.4447015,2.00495,1086.0,3912.0,0.63,4.62642,231.437
3.0300715,12.7529892,1077.4145935,5242.82,0.857369,4.52404,318.4581858
12.72038,4.96046,705.0,6212.0,1.48,4.17664,41.1042
6.238755,2.9728283,1255.4607699,6212.0,1.47768,4.17664,587.1290759
3.2947689,2.5248559,700.5995436,3853.0,0.62326,4.63168,56.9377632
0.7645807,1.2407226,1140.0845694,3853.0,0.62326,4.63168,399.2723837
12.6396982,4.6025162,640.0266601,5217.0,0.789425,4.59186,39.6563977
1.8428078,21.2705,1785.0,5080.0,4.09,4.48159,1687.83
1.7208555,13.4646314,1758.3994294,5832.83,1.33402,4.20893,2259.3896676
0.831542,1.881684,1999.3796659,5824.0,1.1512,4.438,3776.6095365
2.6282553,0.9817044,1418.1144376,6282.0,1.10743,4.37809,955.7979966
3.4239436,1.7581475,1056.3800546,5626.0,0.823019,4.56195,294.3078003
10.983042,2.5070075,716.2888325,5626.0,0.823019,4.56195,62.2119369
17.726449,2.261664,610.6445415,5626.0,0.823019,4.56195,32.8605569
40.7199388,3.2352713,668.3063106,5914.0,1.55953,3.98,47.143655
14.7741056,15.3936,928.0,6053.0,1.23,4.3135,123.522
79.3739596,2.17454,368.0,5168.33,0.77,4.60584,3.05331
18.1663644,2.80447,562.0,5572.9,1.14,3.83,16.6472
105.5850893,2.5033335,429.5758177,5909.57,1.1142,4.26154,8.047858
27.2149622,8.3475973,573.0537137,6270.0,0.989667,4.54537,25.4860381
19.1807264,2.4311768,611.0168649,5262.4,0.937973,3.98,32.9407734
1.2124493,0.879419,1092.1250255,3751.0,0.518,4.75718,336.2098533
4.5541831,0.8887417,694.0557871,4280.0,0.635812,4.61209,54.8401357
41.4856125,12.5121956,1035.0005398,6354.0,3.4868701,4.24472,271.196017
13.7738265,1.8971927,730.4597521,5455.96,1.01825,4.46737,67.2831271
1.9142544,2.04421,2462.0,6734.0,1.59,4.18582,6105.33
5.0780325,2.6347763,431.253644,3318.0,0.334125,4.9581,8.1743139
70.3607265,8.2807306,685.259664,6308.0,2.0982201,3.98679,52.1124723
91.6827832,3.239855,399.0780255,5802.0,1.01814,4.44521,5.9944903
10.1944993,2.7392825,994.4291411,6082.0,1.32661,4.33287,231.1087411
14.64319,3.41248,1134.2791474,6516.0,2.04178,3.99366,391.2017546
4.1782656,2.1023854,492.7241583,3442.0,0.404403,4.893,13.9295288
17.9453645,3.3839124,303.1226876,3442.0,0.404403,4.893,1.9952383
13.896396,2.4586343,686.1495861,5522.87,0.888163,4.67156,52.3837065
8.1213102,2.3157186,820.6868999,5522.87,0.888163,4.67156,107.208941
3.9287851,2.329279,1123.4398689,5668.15,0.986943,4.52573,376.4612937
